Altium Designer Pick and Place Locations
C:\git\pcbform\StepUpPCBForm_thicc\Project Outputs for StepUpPCBForm_thicc\[No Variations]\Pick Place for MKIPRIMARY 2L.csv

========================================================================================================================
File Design Information:

Date:       10/06/23
Time:       18:55
Revision:   e95136efdcab5cb85e141efa6f873feec9ee1e15
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description","Ref-X(mm)","Ref-Y(mm)","Pad-X(mm)","Pad-Y(mm)"
"J1","5-146254-4","TopLayer","51462544","31.0000","11.5000","90","Connector","31.0000","11.5000","32.2700","7.6900"
"BODIES1","ELP43 I CORE","Mechanical2","B66291G0000X187","-30.0000","-58.0000","90","BODIES - ELP43 3D BODY CORE, I CORE","0.0000","0.1000","-30.0000","-58.0000"
"R22","1206W4F0000T5E","TopLayer","R_1206","-7.2000","5.5000","180","R - RESISTOR - SMD - 0R - 1% - 1206","-7.2000","5.5000","-5.8000","5.5000"
"R20","1206W4F0000T5E","TopLayer","R_1206","-2.4000","7.5000","180","R - RESISTOR - SMD - 0R - 1% - 1206","-2.4000","7.5000","-1.0000","7.5000"
"R114","1206W4F0000T5E","TopLayer","R_1206","21.7000","-12.0000","180","R - RESISTOR - SMD - 0R - 1% - 1206","21.7000","-12.0000","23.1000","-12.0000"
"R113","1206W4F0000T5E","TopLayer","R_1206","21.7000","-14.0000","180","R - RESISTOR - SMD - 0R - 1% - 1206","21.7000","-14.0000","23.1000","-14.0000"
"R112","1206W4F0000T5E","TopLayer","R_1206","21.7000","-16.0000","180","R - RESISTOR - SMD - 0R - 1% - 1206","21.7000","-16.0000","23.1000","-16.0000"
"R111","1206W4F0000T5E","TopLayer","R_1206","16.9000","-5.5000","180","R - RESISTOR - SMD - 0R - 1% - 1206","16.9000","-5.5000","18.3000","-5.5000"
"R110","1206W4F0000T5E","TopLayer","R_1206","16.9000","-7.5000","180","R - RESISTOR - SMD - 0R - 1% - 1206","16.9000","-7.5000","18.3000","-7.5000"
"R109","1206W4F0000T5E","TopLayer","R_1206","16.9000","-9.5000","180","R - RESISTOR - SMD - 0R - 1% - 1206","16.9000","-9.5000","18.3000","-9.5000"
"R138","1206W4F0000T5E","TopLayer","R_1206","19.6000","2.0000","90","R - RESISTOR - SMD - 0R - 1% - 1206","19.6000","2.0000","19.6000","0.6000"
"R137","1206W4F0000T5E","TopLayer","R_1206","17.6000","2.0000","90","R - RESISTOR - SMD - 0R - 1% - 1206","17.6000","2.0000","17.6000","0.6000"
"R136","1206W4F0000T5E","TopLayer","R_1206","15.6000","2.0000","90","R - RESISTOR - SMD - 0R - 1% - 1206","15.6000","2.0000","15.6000","0.6000"
"R134","1206W4F0000T5E","TopLayer","R_1206","21.7000","7.5000","180","R - RESISTOR - SMD - 0R - 1% - 1206","21.7000","7.5000","23.1000","7.5000"
"R133","1206W4F0000T5E","TopLayer","R_1206","21.7000","5.4998","180","R - RESISTOR - SMD - 0R - 1% - 1206","21.7000","5.4998","23.1000","5.4998"
"R123","1206W4F0000T5E","TopLayer","R_1206","21.7000","-5.5000","180","R - RESISTOR - SMD - 0R - 1% - 1206","21.7000","-5.5000","23.1000","-5.5000"
"R122","1206W4F0000T5E","TopLayer","R_1206","21.7000","-7.5000","180","R - RESISTOR - SMD - 0R - 1% - 1206","21.7000","-7.5000","23.1000","-7.5000"
"R121","1206W4F0000T5E","TopLayer","R_1206","21.7001","-9.5002","180","R - RESISTOR - SMD - 0R - 1% - 1206","21.7001","-9.5002","23.1001","-9.5002"
"R107","1206W4F0000T5E","TopLayer","R_1206","16.9000","7.5000","360","R - RESISTOR - SMD - 0R - 1% - 1206","16.9000","7.5000","15.5000","7.5000"
"R96","1206W4F0000T5E","TopLayer","R_1206","-15.5000","-8.2000","90","R - RESISTOR - SMD - 0R - 1% - 1206","-15.5000","-8.2000","-15.5000","-9.6000"
"R103","1206W4F0000T5E","TopLayer","R_1206","-19.5001","-2.7001","90","R - RESISTOR - SMD - 0R - 1% - 1206","-19.5001","-2.7001","-19.5001","-4.1001"
"R105","1206W4F0000T5E","TopLayer","R_1206","-15.5000","-2.7000","90","R - RESISTOR - SMD - 0R - 1% - 1206","-15.5000","-2.7000","-15.5000","-4.1000"
"R108","1206W4F0000T5E","TopLayer","R_1206","16.9000","5.5000","360","R - RESISTOR - SMD - 0R - 1% - 1206","16.9000","5.5000","15.5000","5.5000"
"R106","1206W4F0000T5E","TopLayer","R_1206","16.9000","9.5000","360","R - RESISTOR - SMD - 0R - 1% - 1206","16.9000","9.5000","15.5000","9.5000"
"R104","1206W4F0000T5E","TopLayer","R_1206","-17.5000","-2.7000","90","R - RESISTOR - SMD - 0R - 1% - 1206","-17.5000","-2.7000","-17.5000","-4.1000"
"R95","1206W4F0000T5E","TopLayer","R_1206","-17.5000","-8.2000","90","R - RESISTOR - SMD - 0R - 1% - 1206","-17.5000","-8.2000","-17.5000","-9.6000"
"R92","1206W4F0000T5E","TopLayer","R_1206","-17.5000","8.2000","90","R - RESISTOR - SMD - 0R - 1% - 1206","-17.5000","8.2000","-17.5000","6.8000"
"R93","1206W4F0000T5E","TopLayer","R_1206","-15.5000","8.2000","90","R - RESISTOR - SMD - 0R - 1% - 1206","-15.5000","8.2000","-15.5000","6.8000"
"R91","1206W4F0000T5E","TopLayer","R_1206","-19.5002","8.1999","90","R - RESISTOR - SMD - 0R - 1% - 1206","-19.5002","8.1999","-19.5002","6.7999"
"R94","1206W4F0000T5E","TopLayer","R_1206","-19.5002","-8.2001","90","R - RESISTOR - SMD - 0R - 1% - 1206","-19.5002","-8.2001","-19.5002","-9.6001"
"R80","1206W4F0000T5E","TopLayer","R_1206","12.1000","-7.5000","180","R - RESISTOR - SMD - 0R - 1% - 1206","12.1000","-7.5000","13.5000","-7.5000"
"R79","1206W4F0000T5E","TopLayer","R_1206","12.1000","-9.5000","180","R - RESISTOR - SMD - 0R - 1% - 1206","12.1000","-9.5000","13.5000","-9.5000"
"R81","1206W4F0000T5E","TopLayer","R_1206","12.1000","-5.5000","180","R - RESISTOR - SMD - 0R - 1% - 1206","12.1000","-5.5000","13.5000","-5.5000"
"R82","1206W4F0000T5E","TopLayer","R_1206","-19.5000","2.7000","90","R - RESISTOR - SMD - 0R - 1% - 1206","-19.5000","2.7000","-19.5000","1.3000"
"R83","1206W4F0000T5E","TopLayer","R_1206","-17.5000","2.7000","90","R - RESISTOR - SMD - 0R - 1% - 1206","-17.5000","2.7000","-17.5000","1.3000"
"R84","1206W4F0000T5E","TopLayer","R_1206","-15.5000","2.7000","90","R - RESISTOR - SMD - 0R - 1% - 1206","-15.5000","2.7000","-15.5000","1.3000"
"R69","1206W4F0000T5E","TopLayer","R_1206","-12.0000","9.5000","180","R - RESISTOR - SMD - 0R - 1% - 1206","-12.0000","9.5000","-10.6000","9.5000"
"R58","1206W4F0000T5E","TopLayer","R_1206","-2.3999","-9.5002","180","R - RESISTOR - SMD - 0R - 1% - 1206","-2.3999","-9.5002","-0.9999","-9.5002"
"R59","1206W4F0000T5E","TopLayer","R_1206","-2.4000","-7.5000","180","R - RESISTOR - SMD - 0R - 1% - 1206","-2.4000","-7.5000","-1.0000","-7.5000"
"R60","1206W4F0000T5E","TopLayer","R_1206","-2.4000","-5.5000","180","R - RESISTOR - SMD - 0R - 1% - 1206","-2.4000","-5.5000","-1.0000","-5.5000"
"R67","1206W4F0000T5E","TopLayer","R_1206","-11.9999","5.4999","180","R - RESISTOR - SMD - 0R - 1% - 1206","-11.9999","5.4999","-10.5999","5.4999"
"R70","1206W4F0000T5E","TopLayer","R_1206","-11.9999","-9.5002","180","R - RESISTOR - SMD - 0R - 1% - 1206","-11.9999","-9.5002","-10.5999","-9.5002"
"R46","1206W4F0000T5E","TopLayer","R_1206","7.2000","-9.5000","180","R - RESISTOR - SMD - 0R - 1% - 1206","7.2000","-9.5000","8.6000","-9.5000"
"R68","1206W4F0000T5E","TopLayer","R_1206","-12.0000","7.5000","180","R - RESISTOR - SMD - 0R - 1% - 1206","-12.0000","7.5000","-10.6000","7.5000"
